iter	Passed	Remaining
594	1451	987
595	1453	984
596	1455	982
597	1458	980
598	1460	977
599	1462	975
600	1464	972
601	1466	969
602	1469	967
603	1471	964
604	1473	962
605	1476	959
606	1478	957
607	1480	954
608	1482	952
609	1485	949
610	1487	946
611	1489	944
612	1491	941
613	1493	939
614	1496	936
615	1498	934
616	1500	931
617	1502	928
618	1505	926
619	1506	923
620	1509	921
621	1511	918
622	1513	916
623	1516	913
624	1518	911
625	1521	908
626	1523	906
627	1526	903
628	1527	901
629	1530	898
630	1532	896
631	1534	893
632	1536	891
633	1539	888
634	1541	885
635	1543	883
636	1544	880
637	1546	877
638	1549	875
639	1551	872
640	1553	870
641	1556	867
642	1558	865
643	1560	862
644	1562	860
645	1565	857
646	1567	855
647	1569	852
648	1571	850
649	1573	847
650	1575	844
651	1578	842
652	1580	839
653	1582	837
654	1584	834
655	1586	832
656	1589	829
657	1591	827
658	1593	824
659	1595	822
660	1598	819
661	1601	817
662	1603	815
663	1605	812
664	1608	810
665	1610	807
666	1612	805
667	1615	802
668	1618	800
669	1620	797
670	1622	795
671	1625	793
672	1627	790
673	1629	788
674	1632	785
675	1634	783
676	1636	780
677	1639	778
678	1641	775
679	1644	773
680	1646	771
681	1648	768
682	1651	766
683	1653	763
684	1655	761
685	1658	759
686	1660	756
687	1663	754
688	1665	751
689	1667	749
690	1669	746
691	1672	744
692	1674	741
693	1676	739
694	1679	737
695	1681	734
696	1684	732
697	1686	729
698	1688	727
699	1692	725
700	1694	722
701	1697	720
702	1699	718
703	1701	715
704	1703	712
705	1706	710
706	1707	707
707	1710	705
708	1712	702
709	1714	700
710	1716	697
711	1719	695
712	1721	693
713	1724	690
714	1726	688
715	1728	685
716	1730	683
717	1733	680
718	1735	678
719	1737	675
720	1739	673
721	1742	670
722	1745	668
723	1747	666
724	1749	663
725	1752	661
726	1754	658
727	1758	656
728	1760	654
729	1762	651
730	1765	649
731	1767	647
732	1769	644
733	1771	642
734	1773	639
735	1775	637
736	1777	634
737	1779	631
738	1781	629
739	1783	626
740	1786	624
741	1788	622
742	1791	619
743	1793	617
744	1795	614
745	1797	612
